account_id,holder_name,bank,district,is_mule
ACC000000,Ekanta Tata,Bank of Baroda,Bengaluru City,false
ACC000001,Girish Gera,PNB,Bengaluru City,false
ACC000002,Gagan Lalla,Kotak Mahindra,Bengaluru City,false
ACC000003,Harish Suri,SBI,Davanagere,false
ACC000004,T. Nagy,Union Bank,Bengaluru City,false
ACC000005,Udarsh Raghavan,Yes Bank,Bidar,false
ACC000006,Gaurang Shanker,SBI,Chamarajanagar,false
ACC000007,Timothy Kant,ICICI Bank,Bengaluru City,true
ACC000008,Edhitha Kumar,Bank of Baroda,Bengaluru City,false
ACC000009,Yachana Ratta,Karnataka Bank,Udupi,false
ACC000010,Yatan Salvi,HDFC Bank,Gadag,false
ACC000011,Samaksh Ganesh,ICICI Bank,Bengaluru City,false
ACC000012,Simon Kanda,Yes Bank,Bengaluru City,false
ACC000013,Karan Kakar,SBI,Haveri,false
ACC000014,Vrishti Nayak,Union Bank,Kolar,false
ACC000015,Chatura Magar,Karnataka Bank,Bengaluru Rural,false
ACC000016,Simon Kanda,Union Bank,Hassan,false
ACC000017,Sai Kaur,IDBI Bank,Bengaluru City,false
ACC000018,Vidhi Jaggi,Canara Bank,Bidar,false
ACC000019,Dhruv Sabharwal,IDBI Bank,Bagalkote,false
ACC000020,Timothy Kurian,Kotak Mahindra,Bengaluru City,true
ACC000021,Aradhana Natarajan,PNB,Bengaluru City,false
ACC000022,Farhan Biswas,Karnataka Bank,Bengaluru City,false
ACC000023,Kala Varkey,IDBI Bank,Davanagere,false
ACC000024,Saksham Sangha,Union Bank,Chikkaballapura,false
ACC000025,Naksh Vaidya,ICICI Bank,Raichur,false
ACC000026,Chatres Dugal,Kotak Mahindra,Bengaluru City,true
ACC000027,P. Kadakia,Union Bank,Hassan,false
ACC000028,Praneel Patla,ICICI Bank,Bengaluru City,true
ACC000029,Chandani Bawa,Union Bank,Raichur,false
ACC000030,Akshay Bhatt,Bank of Baroda,Bengaluru City,false
ACC000031,Aradhana Kari,SBI,Dakshina Kannada,false
ACC000032,Tanmayi Ramakrishnan,HDFC Bank,Ramanagara,false
ACC000033,AARAV LALL,SBI,Bengaluru City,true
ACC000034,Caleb Boase,Union Bank,Ballari,false
ACC000035,Warda Prasad,Kotak Mahindra,Yadgir,false
ACC000036,Gautam Parmer,ICICI Bank,Bengaluru City,false
ACC000037,R. Gupta,ICICI Bank,Bengaluru City,false
ACC000038,Zayyan Barad,Kotak Mahindra,Gadag,false
ACC000039,B. Mallick,Union Bank,Ramanagara,false
ACC000040,Wakeeta Tak,Bank of Baroda,Belagavi,false
ACC000041,Mohini Bhagat,HDFC Bank,Bengaluru City,false
ACC000042,Janya Bava,Kotak Mahindra,Yadgir,false
ACC000043,Ayaan Aurora,Canara Bank,Bengaluru City,true
ACC000044,Pranav Srivastava,IDBI Bank,Bengaluru City,false
ACC000045,Harinakshi Nath,ICICI Bank,Bengaluru City,false
ACC000046,Girik Borah,Union Bank,Bengaluru City,true
ACC000047,Radhika Kanda,PNB,Bengaluru City,false
ACC000048,Upma Sarma,IDBI Bank,Uttara Kannada,false
ACC000049,Nandini Pradhan,SBI,Bengaluru City,false
ACC000050,Bhavya Verma,PNB,Chamarajanagar,false
ACC000051,Rajata Golla,Karnataka Bank,Bengaluru City,false
ACC000052,Dayita Aggarwal,Bank of Baroda,Udupi,false
ACC000053,Bachittar  Kakar,SBI,Mangaluru,false
ACC000054,Priya Chawla,Kotak Mahindra,Bengaluru Rural,false
ACC000055,Varsha Basak,Yes Bank,Kalaburagi,false
ACC000056,Timothy Gandhi,Kotak Mahindra,Bagalkote,false
ACC000057,Abdul  Contractor,Yes Bank,Mangaluru,false
ACC000058,Ria Ghose,Karnataka Bank,Haveri,false
ACC000059,Zarna Chopra,Axis Bank,Chitradurga,false
ACC000060,Vasana Goyal,PNB,Bengaluru City,false
ACC000061,Gaurav Sagar,Union Bank,Dakshina Kannada,false
ACC000062,Ganga Bhagat,Karnataka Bank,Shivamogga,false
ACC000063,Vritti R.,Yes Bank,Vijayapura,false
ACC000064,Madhavi Bansal,PNB,Bagalkote,false
ACC000065,Janya Devan,ICICI Bank,Chitradurga,false
ACC000066,Nitesh Sarma,ICICI Bank,Ramanagara,false
ACC000067,Janani Behl,IDBI Bank,Mandya,false
ACC000068,Eta Shanker,ICICI Bank,Bengaluru City,false
ACC000069,Victor Madan,Karnataka Bank,Yadgir,false
ACC000070,Nikita Luthra,ICICI Bank,Chikkaballapura,false
ACC000071,Daksha Wadhwa,Bank of Baroda,Bengaluru City,false
ACC000072,Dev Narayanan,Union Bank,Bengaluru City,false
ACC000073,Anirudh Mital,Axis Bank,Bengaluru City,true
ACC000074,Nicholas Lall,ICICI Bank,Bengaluru City,false
ACC000075,Mekhala Vig,ICICI Bank,Bengaluru City,false
ACC000076,Indali Memon,IDBI Bank,Chitradurga,false
ACC000077,Chaaya K.,Bank of Baroda,Shivamogga,false
ACC000078,Ansh Master,Karnataka Bank,Uttara Kannada,false
ACC000079,J. Tiwari,PNB,Koppal,false
ACC000080,Jagvi Yohannan,PNB,Hubballi-Dharwad,false
ACC000081,Kala Hans,Kotak Mahindra,Bengaluru City,false
ACC000082,Advik Maharaj,IDBI Bank,Davanagere,false
ACC000083,Amara Balan,SBI,Bengaluru City,false
ACC000084,Oscar Chacko,Canara Bank,Bengaluru City,false
ACC000085,Sathvik Mohanty,HDFC Bank,Vijayapura,false
ACC000086,Sai Rajagopal,SBI,Raichur,false
ACC000087,Maanav Chakraborty,SBI,Vijayapura,false
ACC000088,Adweta Sawhney,Union Bank,Bengaluru City,false
ACC000089,Rushil Biswas,Karnataka Bank,Ramanagara,false
ACC000090,Dalbir Narang,Yes Bank,Bengaluru City,false
ACC000091,Hema Acharya,ICICI Bank,Chikkaballapura,false
ACC000092,Gabriel Naidu,Canara Bank,Bengaluru City,true
ACC000093,Laksh Badami,Axis Bank,Mandya,false
ACC000094,Chanchal Murty,ICICI Bank,Bengaluru City,false
ACC000095,David Mital,Kotak Mahindra,Bengaluru City,false
ACC000096,Vincent Bedia,Yes Bank,Bengaluru City,false
ACC000097,Jagdish Lanka,ICICI Bank,Bengaluru City,false
ACC000098,Kevin Rege,Union Bank,Haveri,false
ACC000099,Laksh Manda,HDFC Bank,Bengaluru City,true
ACC000100,Ridhi Dayal,Kotak Mahindra,Mandya,false
ACC000101,Januja Aggarwal,ICICI Bank,Hassan,false
ACC000102,Rushil Bumb,PNB,Bengaluru City,false
ACC000103,Kiaan Khosla,SBI,Hassan,false
ACC000104,CHATURA KOTHARI,Union Bank,Dakshina Kannada,false
ACC000105,Abhiram Dutt,PNB,Yadgir,false
ACC000106,Unni Andra,HDFC Bank,Bengaluru City,true
ACC000107,Gaurav Mand,Karnataka Bank,Bengaluru City,true
ACC000108,Raksha Acharya,Union Bank,Bagalkote,false
ACC000109,Arunima Khosla,PNB,Belagavi,false
ACC000110,Aryan Kalita,Yes Bank,Bengaluru City,true
ACC000111,Qasim Borra,HDFC Bank,Shivamogga,false
ACC000112,Wahab Raja,Yes Bank,Bengaluru City,false
ACC000113,Krisha Om,Karnataka Bank,Ballari,false
ACC000114,Girindra Goel,PNB,Bengaluru City,true
ACC000115,George Ramanathan,Kotak Mahindra,Bengaluru City,false
ACC000116,Chandresh Chada,Axis Bank,Chamarajanagar,false
ACC000117,Teerth Dixit,Canara Bank,Mysuru,false
ACC000118,Anay Chad,Kotak Mahindra,Raichur,false
ACC000119,Chandresh Sarraf,HDFC Bank,Bengaluru City,false
ACC000120,Damyanti Som,Kotak Mahindra,Bengaluru Rural,false
ACC000121,David Basu,IDBI Bank,Yadgir,false
ACC000122,Nandini Chaudhari,Axis Bank,Bengaluru City,false
ACC000123,Krish Chander,PNB,Bengaluru City,false
ACC000124,Vanya Dixit,Union Bank,Bengaluru City,false
ACC000125,Vritti Sahni,Karnataka Bank,Bengaluru City,true
ACC000126,Isaac Dewana,Yes Bank,Yadgir,false
ACC000127,Vasudha Bains,Yes Bank,Bengaluru Rural,false
ACC000128,Kashvi Mandal,Karnataka Bank,Bengaluru City,false
ACC000129,Triveni Kashyap,Union Bank,Bengaluru City,false
ACC000130,Hritik Rama,ICICI Bank,Bengaluru City,false
ACC000131,Owen Ratta,Axis Bank,Bengaluru City,false
ACC000132,Samaksh Ravi,PNB,Chitradurga,false
ACC000133,Robert L.,Union Bank,Bengaluru City,false
ACC000134,Siddharth Dube,Karnataka Bank,Bengaluru City,false
ACC000135,Abeer Sandhu,PNB,Bengaluru City,false
ACC000136,Sneha Choudhury,Kotak Mahindra,Bengaluru City,true
ACC000137,Liam Sundera,IDBI Bank,Udupi,false
ACC000138,Ria Bera,PNB,Belagavi,false
ACC000139,Aadhya Dewan,Axis Bank,Bengaluru City,false
ACC000140,Darpan Sant,Union Bank,Davanagere,false
ACC000141,Harrison Kumar,ICICI Bank,Kolar,false
ACC000142,Chameli Morar,ICICI Bank,Kolar,false
ACC000143,Jonathan Gill,Canara Bank,Vijayapura,false
ACC000144,Chanchal Pau,Union Bank,Haveri,false
ACC000145,Finn Padmanabhan,SBI,Bengaluru City,true
ACC000146,Aryan Z.,SBI,Koppal,false
ACC000147,Zayan Jayaraman,Yes Bank,Bengaluru City,false
ACC000148,Yasti Rattan,IDBI Bank,Bengaluru City,true
ACC000149,Jasmit Hora,PNB,Chikkamagaluru,false
ACC000150,Kiaan Doshi,Union Bank,Yadgir,false
ACC000151,Anusha Sethi,Union Bank,Mysuru,false
ACC000152,Guneet Narain,IDBI Bank,Bengaluru City,false
ACC000153,Bhavani Shenoy,SBI,Tumakuru,false
ACC000154,Shaurya Sampath,Bank of Baroda,Gadag,false
ACC000155,Chasmum Sama,Yes Bank,Gadag,false
ACC000156,Kai Deshpande,Karnataka Bank,Ramanagara,false
ACC000157,Hitesh Madan,IDBI Bank,Bengaluru City,false
ACC000158,Yashoda Ray,ICICI Bank,Bengaluru City,true
ACC000159,Bachittar Sarna,HDFC Bank,Bengaluru City,false
ACC000160,Chandresh Bera,Kotak Mahindra,Raichur,false
ACC000161,Anmol Kanda,SBI,Bengaluru City,true
ACC000162,Keya Parekh,Canara Bank,Mysuru,false
ACC000163,Amara Sane,Yes Bank,Bengaluru City,true
ACC000164,Eshana Sheth,Axis Bank,Bengaluru City,false
ACC000165,Charles Vyas,HDFC Bank,Ramanagara,false
ACC000166,Anvi Reddy,HDFC Bank,Bengaluru City,false
ACC000167,Chandran Lanka,PNB,Ballari,false
ACC000168,Ojasvi Taneja,SBI,Bengaluru City,false
ACC000169,Nirja Andra,Kotak Mahindra,Bengaluru City,false
ACC000170,Fitan Mani,HDFC Bank,Chitradurga,false
ACC000171,Hritik Krishnamurthy,Axis Bank,Bengaluru City,true
ACC000172,Vincent Talwar,PNB,Koppal,false
ACC000173,Abeer Roy,Union Bank,Ramanagara,false
ACC000174,Chanakya Chahal,Yes Bank,Ballari,false
ACC000175,Pooja Puri,Yes Bank,Bengaluru City,true
ACC000176,Lavanya Tiwari,Union Bank,Uttara Kannada,false
ACC000177,Vidhi De,ICICI Bank,Uttara Kannada,false
ACC000178,Adweta Bhavsar,Axis Bank,Bengaluru City,true
ACC000179,Fariq Ben,Axis Bank,Uttara Kannada,false
ACC000180,Siddharth Bahl,Kotak Mahindra,Belagavi,false
ACC000181,Zilmil Lata,Union Bank,Mandya,false
ACC000182,Zayan Iyengar,Kotak Mahindra,Bengaluru City,true
ACC000183,Meghana Varma,IDBI Bank,Bengaluru City,false
ACC000184,Vedant Raval,Canara Bank,Mandya,false
ACC000185,Waida Nayak,IDBI Bank,Mangaluru,false
ACC000186,Logan Munshi,Kotak Mahindra,Kalaburagi,false
ACC000187,Imaran Chaudhary,Yes Bank,Mysuru,false
ACC000188,Baghyawati Deshmukh,SBI,Uttara Kannada,false
ACC000189,Isha Savant,Kotak Mahindra,Bengaluru City,false
ACC000190,Lajita Bhandari,PNB,Chitradurga,false
ACC000191,Bhavika Chauhan,Bank of Baroda,Mangaluru,false
ACC000192,Hredhaan Kaur,Kotak Mahindra,Chamarajanagar,false
ACC000193,Dhriti Khosla,Kotak Mahindra,Mangaluru,false
ACC000194,Noah Mannan,Karnataka Bank,Udupi,false
ACC000195,Jagrati Bhardwaj,Bank of Baroda,Chitradurga,false
ACC000196,Kabir Sarma,IDBI Bank,Mangaluru,false
ACC000197,Rayaan Barada,Canara Bank,Bengaluru City,false
ACC000198,Manbir D.,Yes Bank,Bengaluru City,false
ACC000199,Bakhshi N.,Bank of Baroda,Gadag,false
ACC000200,Abhimanyu Om,Union Bank,Bengaluru City,false
ACC000201,Janaki Viswanathan,ICICI Bank,Bengaluru City,false
ACC000202,Leela Chandra,Canara Bank,Bengaluru City,true
ACC000203,Amruta Kala,Bank of Baroda,Bengaluru City,false
ACC000204,Lopa Bhagat,Kotak Mahindra,Ballari,false
ACC000205,Raagini Zacharia,ICICI Bank,Bengaluru City,false
ACC000206,Pahal Dhar,Yes Bank,Bengaluru City,false
ACC000207,Oviya Khalsa,SBI,Haveri,false
ACC000208,Caleb Chadha,Bank of Baroda,Shivamogga,false
ACC000209,R. Yadav,Axis Bank,Bagalkote,false
ACC000210,Ekaja Agarwal,SBI,Gadag,false
ACC000211,Oscar Desai,Canara Bank,Bengaluru City,false
ACC000212,Bahadurjit Atwal,Karnataka Bank,Bengaluru City,false
ACC000213,Udant Sani,Karnataka Bank,Shivamogga,false
ACC000214,Aadi Ahluwalia,Union Bank,Davanagere,false
ACC000215,C. Sami,SBI,Bengaluru City,false
ACC000216,Shivani Prabhu,IDBI Bank,Bengaluru City,false
ACC000217,Lucky Sule,Karnataka Bank,Bengaluru City,true
ACC000218,Champak Shere,Union Bank,Bengaluru City,false
ACC000219,Om Vala,Yes Bank,Chikkamagaluru,false
ACC000220,Meghana Varma,Kotak Mahindra,Bengaluru City,false
ACC000221,Alka Golla,IDBI Bank,Kolar,false
ACC000222,Balveer Chada,Bank of Baroda,Raichur,false
ACC000223,Samarth Bhatt,Yes Bank,Gadag,false
ACC000224,Tanmayi Chauhan,IDBI Bank,Bengaluru City,false
ACC000225,Jatin B.,Union Bank,Kalaburagi,false
ACC000226,Jack Bhavsar,SBI,Bengaluru City,false
ACC000227,Idika Sen,Karnataka Bank,Mysuru,false
ACC000228,Vasana Sani,SBI,Bengaluru City,false
ACC000229,Om Sharma,Union Bank,Bengaluru City,true
ACC000230,Caleb Samia,IDBI Bank,Vijayapura,false
ACC000231,Xiti Merchant,Karnataka Bank,Bagalkote,false
ACC000232,Pallavi Rattan,ICICI Bank,Ballari,false
ACC000233,Jack Brar,PNB,Mandya,false
ACC000234,Chakradev Rau,Karnataka Bank,Bidar,false
ACC000235,Rachana Dube,IDBI Bank,Bengaluru City,false
ACC000236,Xalak Nazareth,HDFC Bank,Bengaluru City,false
ACC000237,Tristan Sheth,Yes Bank,Bengaluru City,true
ACC000238,I. Dewan,IDBI Bank,Gadag,false
ACC000239,Aadhya Sahota,Kotak Mahindra,Bengaluru City,false
ACC000240,Darsh Wable,IDBI Bank,Bengaluru City,false
ACC000241,Daniel Wason,Yes Bank,Mangaluru,false
ACC000242,Bachittar Chopra,Canara Bank,Ballari,false
ACC000243,Advik Sodhi,SBI,Gadag,false
ACC000244,Chameli Bhagat,Kotak Mahindra,Bengaluru City,false
ACC000245,Peter Raya,ICICI Bank,Bengaluru City,true
ACC000246,Rohan Ranganathan,ICICI Bank,Bengaluru City,false
ACC000247,Faqid Sama,Axis Bank,Bengaluru City,false
ACC000248,Amol Mandal,Kotak Mahindra,Bagalkote,false
ACC000249,Udyati Malhotra,SBI,Bengaluru City,false
ACC000250,Radhika Sha,Union Bank,Hubballi-Dharwad,false
ACC000251,Vinaya Vasa,Union Bank,Bengaluru City,true
ACC000252,Ikbal Nadkarni,ICICI Bank,Belagavi,false
ACC000253,Samarth Parsa,Axis Bank,Chikkamagaluru,false
ACC000254,A. Chander,Axis Bank,Bengaluru City,true
ACC000255,Azaan Patel,HDFC Bank,Chikkamagaluru,false
ACC000256,Tara Minhas,Canara Bank,Bengaluru City,false
ACC000257,Dipta Gupta,Axis Bank,Bengaluru City,false
ACC000258,Bhavna Dhillon,Yes Bank,Bagalkote,false
ACC000259,Dhruv Ratta,Union Bank,Bengaluru City,false
ACC000260,Zansi Divan,IDBI Bank,Gadag,false
ACC000261,Devika Sarkar,IDBI Bank,Bengaluru City,true
ACC000262,Vasatika Pradhan,IDBI Bank,Bengaluru City,true
ACC000263,Arin Deshmukh,Yes Bank,Yadgir,false
ACC000264,Ojasvi Khosla,SBI,Bengaluru City,true
ACC000265,Chandran Ram,SBI,Vijayapura,false
ACC000266,Kabir Edwin,PNB,Shivamogga,false
ACC000267,Hritik Chada,Kotak Mahindra,Ramanagara,false
ACC000268,Onkar Choudhury,HDFC Bank,Koppal,false
ACC000269,Om Krishna,Kotak Mahindra,Chamarajanagar,false
ACC000270,Lila Salvi,Axis Bank,Bengaluru City,false
ACC000271,Omaja Palan,HDFC Bank,Bengaluru City,true
ACC000272,Noah Prasad,SBI,Bengaluru City,false
ACC000273,Lekha Merchant,Yes Bank,Dakshina Kannada,false
ACC000274,Yug Chad,Union Bank,Mysuru,false
ACC000275,Girish Palan,Karnataka Bank,Bengaluru City,true
ACC000276,Yug Bhandari,ICICI Bank,Shivamogga,false
ACC000277,Alexander Chander,Bank of Baroda,Bengaluru City,false
ACC000278,Balveer Sheth,ICICI Bank,Bengaluru City,false
ACC000279,Victor Tak,Yes Bank,Bengaluru City,false
ACC000280,Akshay Wason,Axis Bank,Bengaluru City,true
ACC000281,Leena Jayaraman,SBI,Bengaluru City,false
ACC000282,Lohit Mukherjee,IDBI Bank,Bengaluru City,false
ACC000283,Chanchal Goswami,Axis Bank,Bengaluru City,false
ACC000284,Mitesh Sathe,Bank of Baroda,Vijayapura,false
ACC000285,Om Naidu,SBI,Dakshina Kannada,false
ACC000286,Dipta Pau,Karnataka Bank,Mysuru,false
ACC000287,Mason Rana,PNB,Bengaluru City,false
ACC000288,Arya Sridhar,Karnataka Bank,Tumakuru,false
ACC000289,Nidra Shanker,HDFC Bank,Bengaluru City,false
ACC000290,Udarsh Narula,Axis Bank,Gadag,false
ACC000291,Charita Pau,SBI,Belagavi,false
ACC000292,Manan Kala,Yes Bank,Bengaluru City,false
ACC000293,Jeremiah Keer,Kotak Mahindra,Bengaluru Rural,false
ACC000294,Anjali Gaba,Axis Bank,Bidar,false
ACC000295,Yatan Sethi,PNB,Bengaluru City,true
ACC000296,Falguni Luthra,Yes Bank,Belagavi,false
ACC000297,Mahika Ramakrishnan,Karnataka Bank,Bengaluru City,true
ACC000298,Janani Wagle,Axis Bank,Shivamogga,false
ACC000299,Gautami Nigam,Karnataka Bank,Bengaluru City,false
ACC000300,Michael Sem,Karnataka Bank,Tumakuru,false
ACC000301,Omya Mitter,Bank of Baroda,Bengaluru City,true
ACC000302,Geetika Arora,Kotak Mahindra,Ramanagara,false
ACC000303,CHATURA KOTHARI,Karnataka Bank,Dakshina Kannada,false
ACC000304,Aradhana Bandi,Bank of Baroda,Haveri,false
ACC000305,Lucky Dubey,HDFC Bank,Shivamogga,false
ACC000306,Sneha Shetty,Yes Bank,Bengaluru City,false
ACC000307,Dhriti Khosla,Yes Bank,Bengaluru City,false
ACC000308,Mitali Buch,Canara Bank,Udupi,false
ACC000309,Anjali Gaba,Karnataka Bank,Hassan,false
ACC000310,Ekansh Saini,Kotak Mahindra,Chikkaballapura,false
ACC000311,Aadhya Sarraf,SBI,Bengaluru City,true
ACC000312,Daniel Bhakta,Kotak Mahindra,Bengaluru City,false
ACC000313,Ojas Ramaswamy,ICICI Bank,Belagavi,false
ACC000314,Samuel Mander,Union Bank,Bengaluru City,false
ACC000315,Ojas Atwal,SBI,Chikkaballapura,false
ACC000316,Idika Sen,IDBI Bank,Dakshina Kannada,false
ACC000317,Avi Roy,Union Bank,Hassan,false
ACC000318,Hitesh Sane,Bank of Baroda,Yadgir,false
ACC000319,Manbir Dugal,HDFC Bank,Bengaluru City,false
