cdr_id,caller_msisdn,callee_msisdn,start_time,duration_sec,cell_tower_id,tower_lat,tower_lng,call_type
CDR-0056579,6902835954,9460803432,2026-04-30T06:16:33,1603,TWR-VIJ-390,16.797178,75.764644,data
CDR-0055985,9222974405,6375975492,2026-02-28T17:40:49,149,TWR-HUB-271,15.365416,75.107788,voice
CDR-0019393,9242448674,6139892046,2025-12-05T23:38:29,5,TWR-DAV-247,14.368665,75.91244,voice
CDR-0056199,9361249339,9317121246,2026-01-08T19:26:09,0,TWR-BLR-154,12.952545,77.620082,sms
CDR-0076075,9644099356,7188580724,2026-01-06T05:55:46,0,TWR-BLR-078,12.94289,77.616329,sms
CDR-0071085,9566603335,9247054665,2026-01-19T07:11:36,64,TWR-KOP-299,15.228822,76.093127,voice
CDR-0028185,9588798852,9460850304,2026-04-10T23:14:49,0,TWR-BEL-027,15.878811,74.473479,sms
CDR-0004538,6351430456,6842065845,2025-10-10T05:24:19,0,TWR-BLR-162,12.981189,77.711102,sms
CDR-0028042,9396726053,9554548873,2025-08-08T06:05:21,0,TWR-HUB-280,15.386448,75.099241,sms
CDR-0000474,9339670711,9834196203,2026-03-12T03:41:31,81,TWR-CHI-220,13.456201,77.7242,voice
CDR-0037679,7263874003,9510342269,2026-04-17T10:42:37,0,TWR-DAV-245,14.503522,75.886204,sms
CDR-0057947,9295157630,6394165803,2026-06-09T12:15:11,0,TWR-DAV-248,14.519575,75.897431,sms
CDR-0052275,9672688959,7060548416,2025-11-04T13:51:56,98,TWR-BLR-182,12.917148,77.558888,voice
CDR-0054043,6953532982,9222908621,2025-06-23T02:31:35,49,TWR-HUB-283,15.306777,75.2083,voice
CDR-0000373,9734036506,9152957161,2025-06-25T00:15:44,15,TWR-SHI-362,13.928953,75.580072,voice
CDR-0082694,9580965868,7575196765,2026-05-12T18:21:51,83,TWR-BLR-143,12.963482,77.614892,voice
CDR-0077221,9760129031,9984724508,2025-09-23T20:47:38,0,TWR-BLR-117,13.005612,77.637502,sms
CDR-0027623,6590607450,9355994807,2026-02-17T12:13:36,79,TWR-HAS-263,12.990718,76.156101,voice
CDR-0105804,8823249618,8728453545,2025-12-06T14:42:15,556,TWR-KOL-295,13.097558,78.044289,voice
CDR-0020028,9323635143,8102603169,2026-01-30T17:28:59,13,TWR-MYS-332,12.30429,76.663017,voice
CDR-0078619,9008194299,9334768389,2025-10-31T08:48:55,0,TWR-BLR-104,12.881524,77.574272,sms
CDR-0025962,8898390036,9482810322,2026-06-02T16:49:22,200,TWR-CHI-221,13.472512,77.772109,voice
CDR-0052273,9155460876,7425894301,2025-12-05T14:41:08,196,TWR-HUB-270,15.33653,75.064127,voice
CDR-0107185,9947701446,9518242566,2025-06-10T01:39:48,2084,TWR-BLR-120,13.031247,77.642579,data
CDR-0071419,8869525737,9683115290,2025-07-18T22:19:24,836,TWR-HAS-261,12.988143,76.105203,data
CDR-0115150,9539375266,9643369886,2025-09-14T20:44:14,0,TWR-BLRR-197,13.237071,77.585936,sms
CDR-0095333,9015551456,9307622081,2026-05-07T11:20:54,5,TWR-HUB-284,15.456437,75.123945,voice
CDR-0035480,9842163664,9292177061,2025-10-16T15:20:00,247,TWR-BLR-164,13.026756,77.598399,voice
CDR-0027877,7293972294,9408211790,2026-06-04T19:50:11,0,TWR-DAV-247,14.368665,75.91244,sms
CDR-0082574,9114239245,9951125259,2026-04-20T19:26:39,109,TWR-SHI-361,13.928911,75.558665,voice
CDR-0081827,9792408848,9641534221,2026-05-06T04:45:02,0,TWR-BLR-167,12.925602,77.712993,sms
CDR-0118268,9948416182,8198654143,2026-04-24T07:29:21,5,TWR-VIJ-391,16.76734,75.713588,voice
CDR-0021180,9562034937,9964842647,2026-04-07T22:52:39,124,TWR-MAN-305,12.420469,76.930491,voice
CDR-0116139,7614880324,9233043652,2025-09-29T09:00:24,92,TWR-UDU-376,13.326156,74.694969,voice
CDR-0049806,6185004786,9828286637,2026-06-01T20:34:46,0,TWR-VIJ-388,16.815273,75.758088,sms
CDR-0004254,9451818447,9710382404,2025-12-03T15:21:01,24,TWR-BLR-047,12.907723,77.541962,voice
CDR-0010669,9200320764,9949445026,2025-08-07T10:31:29,0,TWR-MAN-315,12.835461,74.8546,sms
CDR-0041874,9313756849,9276118012,2025-09-05T05:20:07,52,TWR-HUB-274,15.294089,75.120454,voice
CDR-0022123,9747847111,9892109935,2025-11-08T13:06:01,517,TWR-HUB-281,15.330161,75.166555,voice
CDR-0003990,9266164411,9785716903,2025-11-07T19:52:50,109,TWR-BEL-017,15.841108,74.491814,voice
CDR-0081106,9530763219,9750527812,2025-10-12T04:22:44,1527,TWR-UDU-379,13.392343,74.75014,data
CDR-0101184,9718079386,9683188962,2025-10-22T16:24:22,2940,TWR-MAN-319,12.879567,74.916361,data
CDR-0040514,9807531471,9685803031,2026-01-27T03:30:44,121,TWR-BLR-175,12.9513,77.572546,voice
CDR-0032732,9296509562,6372440245,2026-05-17T10:11:14,0,TWR-MAN-314,12.877924,74.817653,sms
CDR-0000189,9126855092,9126855092,2025-09-13T10:07:50,0,TWR-MAN-314,12.877924,74.817653,sms
CDR-0113722,9961682504,8309357497,2026-04-17T17:41:22,77,TWR-BLR-183,12.894646,77.64991,voice
CDR-0068621,6213291161,7609363514,2026-03-29T14:46:44,344,TWR-RAI-351,16.181399,77.340731,voice
CDR-0020806,9309272776,9176558518,2025-11-10T04:04:37,920,TWR-MAN-317,12.929531,74.929128,voice
CDR-0092577,6310872796,9980428806,2026-01-19T18:31:55,6,TWR-BAG-004,16.117371,75.607084,voice
CDR-0097509,9821218382,7935479817,2026-02-27T06:02:12,200,TWR-BAG-003,16.189682,75.631148,voice
CDR-0063414,9896841309,9664034756,2025-07-23T17:19:59,0,TWR-YAD-395,16.783121,77.107298,sms
CDR-0100982,9404252304,9710602792,2025-06-23T13:11:17,60,TWR-UTT-384,14.775704,74.731915,voice
CDR-0039722,9149203558,9598791797,2025-12-02T08:55:22,43,TWR-BLRR-188,13.258186,77.599229,voice
CDR-0063669,7334581751,9473661533,2026-03-11T14:38:45,216,TWR-RAI-349,16.162286,77.448051,voice
CDR-0022524,9550582942,9864177149,2025-08-23T19:09:20,343,TWR-BEL-023,15.899069,74.375211,voice
CDR-0023987,9765132552,9134754546,2025-07-23T00:06:56,21,TWR-BLR-157,12.970162,77.70436,voice
CDR-0000095,9126855092,9461895314,2025-11-18T06:41:56,0,TWR-MAN-314,12.877924,74.817653,sms
CDR-0015367,8704997734,9325825374,2026-01-23T18:21:48,323,TWR-VIJ-392,16.759563,75.838419,voice
CDR-0076349,9266252114,9426040077,2025-10-28T23:07:57,224,TWR-CHI-237,14.186086,76.363636,voice
CDR-0100652,9100068077,9817026227,2025-11-14T03:32:53,296,TWR-CHI-229,13.376224,75.700029,voice
CDR-0062612,9611317716,6741864221,2025-12-03T09:56:57,0,TWR-DAV-247,14.368665,75.91244,sms
CDR-0001399,9297806421,9339362341,2025-12-04T13:16:15,39,TWR-BLR-151,13.016878,77.671465,voice
CDR-0082159,9678776067,9265056615,2026-04-14T10:58:16,54,TWR-BEL-028,15.890839,74.409648,voice
CDR-0075114,9128670900,8426585829,2025-09-18T08:58:04,213,TWR-UTT-382,14.774181,74.757899,voice
CDR-0007079,6089653889,9495438889,2025-08-11T22:50:03,0,TWR-BLRR-187,13.278555,77.540398,sms
CDR-0014881,9168814281,9203506212,2025-09-16T12:18:24,0,TWR-BLR-159,12.956644,77.713159,sms
CDR-0108521,9168335098,9342692929,2025-12-13T02:35:22,73,TWR-RAI-346,16.175007,77.349684,voice
CDR-0001051,9142947723,9484530509,2026-05-18T13:10:36,5,TWR-BLR-087,12.969883,77.618616,voice
CDR-0060608,7638805682,9648955358,2026-01-12T13:06:08,74,TWR-MYS-344,12.334343,76.633599,voice
CDR-0080657,9465671089,9314747703,2026-05-14T23:21:31,103,TWR-SHI-363,13.992531,75.570789,voice
CDR-0061161,8011635917,9455264513,2025-10-04T06:08:07,2782,TWR-DAV-248,14.519575,75.897431,data
