person_id,fir_number,full_name,normalized_name,role,gender,age,phone,address,district,true_identity_id
P0000001,FIR-2023-000000,Vedika Wali,vedika wali,Accused,Female,34.0,9611144821,"86/87, Soman Street, Rampur 487347",Mangaluru,TID-OneOff-1
P0000002,FIR-2023-000000,Luke Keer,keer luke,Suspect,Male,54.0,9378675934,"H.No. 81, Dora Street, Yamunanagar 316658",Mangaluru,TID-OneOff-2
P0000003,FIR-2023-000000,Sarthak Bhatia,bhatia sarthak,Victim,Male,62.0,9275351550,,Mangaluru,TID-Victim-3
P0000004,FIR-2024-000001,N. Rattan,n rattan,Accused,Male,36.0,9819595113,"90, Rai, Chennai-466889",Hubballi-Dharwad,TID0024
P0000005,FIR-2024-000001,Widisha Kanda,kanda widisha,Victim,Female,28.0,9265952075,"06, Ravel Path, Bhind 980699",Chitradurga,TID-Victim-5
P0000006,FIR-2025-000002,BHAVIKA RAJAN,bhavika rajan,Accused,Female,48.0,9790256940,"62/720, Raghavan Road, Rajpur Sonarpur 556464",Chikkaballapura,TID0033
P0000007,FIR-2025-000002,Wahab Bahl,bahl wahab,Suspect,Male,23.0,9919290447,,Bengaluru City,TID-OneOff-7
P0000008,FIR-2025-000002,Pushti Kapur,kapur pushti,Victim,Female,,9951536517,"H.No. 330, Dua, Cuttack 193745",Bengaluru City,TID-Victim-8
P0000009,FIR-2026-000003,Darpan  Kota,darpan kota,Accused,Male,39.0,9743111853,,Chikkaballapura,TID0052
P0000010,FIR-2026-000003,Dakshesh Gade,dakshesh gade,Complainant,Male,36.0,9909620527,"04/96, Issac Marg, Guntakal 149190",Bengaluru City,TID-Victim-10
P0000011,FIR-2023-000004,Tanish Prabhakar,prabhakar tanish,Accused,Male,42.0,9744663324,"H.No. 671, Pathak Marg, Jamnagar 284987",Shivamogga,TID-OneOff-11
P0000012,FIR-2023-000004,Urmi Loyal,loyal urmi,Complainant,Female,36.0,,"H.No. 473, Raghavan Chowk, Bhopal 527354",Shivamogga,TID-Victim-12
P0000013,FIR-2024-000005,Logan Majumdar,logan majumdar,Accused,Male,30.0,9738834325,"H.No. 367, Khosla Circle, Pallavaram 014363",Bengaluru City,TID-OneOff-13
P0000014,FIR-2024-000005,Raksha Solanki,raksha solanki,Complainant,Female,45.0,9399056778,"85/574, Krishnamurthy Road, Jamshedpur 518233",Bengaluru City,TID-Victim-14
P0000015,FIR-2025-000006,INDRAJIT IYENGAR,indrajit iyengar,Accused,Male,54.0,9897163846,"98/941, Minhas Ganj, Karimnagar-408240",Koppal,TID0116
P0000016,FIR-2025-000006,Madhav Date,date madhav,Complainant,Male,51.0,9951188873,"H.No. 947, Sastry Chowk, Udaipur-471167",Bagalkote,TID-Victim-16
P0000017,FIR-2026-000007,Avi Doshi,avi doshi,Accused,Male,28.0,9520246255,"H.No. 318, Kara Marg, Hospet-496499",Bengaluru City,TID-OneOff-17
P0000018,FIR-2026-000007,Chavvi Johal,chavvi johal,Victim,Female,36.0,9130222592,"12/328, Dugar Zila, Alappuzha-974034",Bengaluru City,TID-Victim-18
P0000019,FIR-2026-000007,Vasana Bobal,bobal vasana,Witness,Female,65.0,,"93/618, Dixit Ganj, Ajmer-024994",Bengaluru City,TID-Witness-19
P0000020,FIR-2023-000008,David Sidhu,david sidhu,Accused,Male,31.0,9639843588,"H.No. 88, Sarma Chowk, Khora  659401",Bengaluru City,TID-OneOff-20
P0000021,FIR-2023-000008,Aishani Luthra,aishani luthra,Complainant,Female,41.0,,"87, Golla Road, Pallavaram 756551",Bengaluru City,TID-Victim-21
P0000022,FIR-2024-000009,Nitesh Sabharwal,nitesh sabharwal,Accused,Male,22.0,9424105761,"68/071, Krishnan Path, Bhiwandi-808760",Hubballi-Dharwad,TID-OneOff-22
P0000023,FIR-2024-000009,Yochana Pathak,pathak yochana,Victim,Female,38.0,9531967365,"H.No. 348, Mani Street, Shivpuri-093248",Hubballi-Dharwad,TID-Victim-23
P0000024,FIR-2025-000010,Samar Chander,chander samar,Accused,Male,44.0,9408211790,"12, Manne Chowk, Vijayanagaram-737826",Shivamogga,TID-OneOff-24
P0000025,FIR-2025-000010,Yashoda Deshpande,deshpande yashoda,Complainant,Female,25.0,9129747132,"58, Agate Road, Bihar Sharif 278755",Shivamogga,TID-Victim-25
P0000026,FIR-2026-000011,Vedant Nagy,nagy vedant,Accused,Male,60.0,9196965642,"63/60, Solanki Path, Kharagpur-702895",Bengaluru Rural,TID-OneOff-26
P0000027,FIR-2026-000011,Thomas Chaudhry,chaudhry thomas,Complainant,Male,,9229539022,"26/217, Nigam Road, Jodhpur-865780",Bengaluru Rural,TID-Victim-27
P0000028,FIR-2023-000012,Jacob Mani,jacob mani,Accused,Male,34.0,,,Hubballi-Dharwad,TID-OneOff-28
P0000029,FIR-2023-000012,Chandani Saraf,chandani saraf,Complainant,Female,45.0,9364512739,"24, Batra Nagar, Pimpri-Chinchwad 556238",Hubballi-Dharwad,TID-Victim-29
P0000030,FIR-2024-000013,Gautam Garde,garde gautam,Accused,Male,,,"69/37, Dhar, Surendranagar Dudhrej-740748",Bengaluru City,TID-OneOff-30
P0000031,FIR-2024-000013,Balhaar Sathe,balhaar sathe,Accused,Male,33.0,9272042677,"64/743, Subramanian Marg, Patiala 959440",Bengaluru City,TID-OneOff-31
P0000032,FIR-2024-000013,Mahika Anand,anand mahika,Complainant,Female,23.0,9627950113,"H.No. 39, Kanda Path, Udupi 210470",Bengaluru City,TID-Victim-32
P0000033,FIR-2025-000014,Dominic Chana,chana dominic,Accused,Male,37.0,9188295994,,Shivamogga,TID-OneOff-33
P0000034,FIR-2025-000014,Nihal Sagar,nihal sagar,Complainant,Male,61.0,9442952206,"858, Mahajan Circle, Bardhaman-451712",Shivamogga,TID-Victim-34
P0000035,FIR-2026-000015,Sneha Pau,pau sneha,Accused,Female,32.0,,"H.No. 481, Pillay Chowk, Bhimavaram 513709",Shivamogga,TID-OneOff-35
P0000036,FIR-2026-000015,Indrajit Bhatnagar,bhatnagar indrajit,Suspect,Male,49.0,9563114070,"61/200, Tailor Road, Jalandhar-826758",Shivamogga,TID-OneOff-36
P0000037,FIR-2026-000015,Garima Sachdeva,garima sachdeva,Complainant,Female,44.0,9130894901,"64/05, Sawhney Ganj, Noida 158506",Shivamogga,TID-Victim-37
P0000038,FIR-2023-000016,Isaac Dewan,dewan isaac,Accused,Male,27.0,9339670711,"H.No. 713, Bail, Thoothukudi 293183",Chikkaballapura,TID0001
P0000039,FIR-2023-000016,Jackson Narasimhan,jackson narasimhan,Complainant,Male,50.0,9464188244,"H.No. 22, Krishna Circle, Bhubaneswar-205395",Bengaluru City,TID-Victim-39
P0000040,FIR-2023-000016,Harita Lanka,harita lanka,Witness,Female,45.0,9225458204,"68/117, Pathak Chowk, Bidhannagar 908470",Bengaluru City,TID-Witness-40
P0000041,FIR-2024-000017,Wakeeta Ratti,ratti wakeeta,Accused,Female,60.0,9572435232,,Bengaluru City,TID-OneOff-41
P0000042,FIR-2024-000017,Chatura Swaminathan,chatura swaminathan,Complainant,Male,20.0,9275615795,"H.No. 592, Date Zila, Bhimavaram-698478",Bengaluru City,TID-Victim-42
P0000043,FIR-2025-000018,Chavvi Contractor,chavvi contractor,Accused,Female,18.0,9712878747,"36, Setty Path, Vijayanagaram-565452",Dakshina Kannada,TID-OneOff-43
P0000044,FIR-2025-000018,Bahadurjit Chand,bahadurjit chand,Complainant,Male,61.0,9452893605,,Dakshina Kannada,TID-Victim-44
P0000045,FIR-2026-000019,Chakradhar Sankaran,chakradhar sankaran,Accused,Male,36.0,9159630273,"809, Narayan Circle, Bulandshahr 604945",Bengaluru Rural,TID-OneOff-45
P0000046,FIR-2026-000019,Yashica Kala,kala yashica,Complainant,Female,29.0,9927723397,"158, Contractor Path, Chapra-689980",Bengaluru Rural,TID-Victim-46
P0000047,FIR-2026-000019,Akshay Gole,akshay gole,Witness,Male,,,,Bengaluru Rural,TID-Witness-47
P0000048,FIR-2023-000020,Nilima Nori,nilima nori,Accused,Female,23.0,,"296, Dhar Zila, Mysore 667525",Hassan,TID-OneOff-48
P0000049,FIR-2023-000020,Nicholas Chad,chad nicholas,Victim,Male,23.0,9466945733,"901, Savant Road, Shivpuri 643815",Hassan,TID-Victim-49
P0000050,FIR-2024-000021,A. D’Alia,a alia d,Accused,Male,19.0,,"H.No. 97, Morar Circle, Muzaffarnagar-900343",Mysuru,TID0122
P0000051,FIR-2024-000021,Joshua Mann,joshua mann,Complainant,Male,,9292792696,"H.No. 762, Rai Street, Orai 160607",Bengaluru City,TID-Victim-51
P0000052,FIR-2025-000022,Nirja Sanghvi,nirja sanghvi,Accused,Female,43.0,,"H.No. 16, Nair Nagar, Tadipatri-516136",Bengaluru City,TID-OneOff-52
P0000053,FIR-2025-000022,Zaitra Brar,brar zaitra,Victim,Female,57.0,9823490609,"53/521, Comar Circle, Karnal-231243",Bengaluru City,TID-Victim-53
P0000054,FIR-2026-000023,Gaurav L.,gaurav l,Accused,Male,27.0,9620815076,"12/779, Sen, Satna-717744",Bengaluru City,TID0123
P0000055,FIR-2026-000023,Qushi Tripathi,qushi tripathi,Complainant,Female,54.0,9520620533,,Bengaluru Rural,TID-Victim-55
P0000056,FIR-2026-000023,Nilima Shenoy,nilima shenoy,Witness,Female,49.0,,"H.No. 541, Tripathi Zila, Surendranagar Dudhrej-793597",Bengaluru Rural,TID-Witness-56
P0000057,FIR-2023-000024,Simon K.,k simon,Accused,Male,56.0,9291735734,"15, Thaman Zila, Thane-778892",Belagavi,TID0147
P0000058,FIR-2023-000024,Quincy Mandal,mandal quincy,Complainant,Male,61.0,9746500088,"H.No. 90, Bhatti Path, Bareilly-449251",Bengaluru City,TID-Victim-58
P0000059,FIR-2024-000025,Parth Mukherjee,mukherjee parth,Accused,Male,49.0,9324876907,"14/86, Datta Path, Bhusawal-054235",Ballari,TID-OneOff-59
P0000060,FIR-2024-000025,Gopal Kara,gopal kara,Victim,Male,40.0,9287598577,"H.No. 418, Vyas Circle, Naihati-962229",Ballari,TID-Victim-60
P0000061,FIR-2025-000026,Theodore Bassi,bassi theodore,Accused,Male,28.0,,"37/947, Walla Ganj, Tirupati-359774",Dakshina Kannada,TID-OneOff-61
P0000062,FIR-2025-000026,Yashasvi Wable,wable yashasvi,Complainant,Female,41.0,9247932060,,Dakshina Kannada,TID-Victim-62
P0000063,FIR-2026-000027,Aayush Mistry,aayush mistry,Accused,Male,51.0,9161073976,"924, Srivastava Nagar, Begusarai-814124",Belagavi,TID0095
P0000064,FIR-2026-000027,Yashvi Din,din yashvi,Complainant,Female,67.0,9965700978,"750, Bera Marg, Ambala-361530",Chikkaballapura,TID-Victim-64
P0000065,FIR-2026-000027,Chavvi Nayak,chavvi nayak,Witness,Female,67.0,9166001117,"H.No. 472, Sen Chowk, Vijayawada-432898",Chikkaballapura,TID-Witness-65
P0000066,FIR-2023-000028,Dayamai Mani,dayamai mani,Accused,Female,59.0,9311844701,"H.No. 036, Shankar, Bhubaneswar-980893",Shivamogga,TID-OneOff-66
P0000067,FIR-2023-000028,Madhav Sanghvi,madhav sanghvi,Suspect,Male,,9878568781,"962, Viswanathan Zila, Jabalpur 670654",Shivamogga,TID-OneOff-67
P0000068,FIR-2023-000028,Rachana Bir,bir rachana,Complainant,Female,,9659780124,"19/520, Nigam Path, Madhyamgram 221704",Shivamogga,TID-Victim-68
P0000069,FIR-2024-000029,Anya Iyengar,anya iyengar,Accused,Female,24.0,9725314006,"H.No. 86, Solanki Circle, Vadodara 450541",Bengaluru City,TID-OneOff-69
P0000070,FIR-2024-000029,Urmi Ratta,ratta urmi,Victim,Female,,9989528128,"H.No. 27, Pillai Chowk, Gwalior-169284",Bengaluru City,TID-Victim-70
P0000071,FIR-2024-000029,Dalaja Buch,buch dalaja,Witness,Female,48.0,9183829919,"H.No. 79, Ganesan Marg, Etawah 059640",Bengaluru City,TID-Witness-71
P0000072,FIR-2025-000030,Samaksh Patla,patla samaksh,Accused,Male,44.0,9496839906,"970, Bhavsar Street, Ambarnath-690927",Bengaluru City,TID-OneOff-72
P0000073,FIR-2025-000030,Quincy Sawhney,quincy sawhney,Complainant,Male,,9502073105,"56/54, Comar Ganj, Gaya 868144",Bengaluru City,TID-Victim-73
P0000074,FIR-2026-000031,Orinder Lalla,lalla orinder,Accused,Male,40.0,9919795579,"47/31, Borah Street, Malegaon-155188",Dakshina Kannada,TID0011
P0000075,FIR-2026-000031,Mason Dugar,dugar mason,Suspect,Male,60.0,9515790548,"31/32, Tak Ganj, Karimnagar-782911",Mangaluru,TID-OneOff-75
P0000076,FIR-2026-000031,Sneha Srinivas,sneha srinivas,Complainant,Female,74.0,9397829240,"12/51, Shukla Chowk, Warangal-268018",Mangaluru,TID-Victim-76
P0000077,FIR-2023-000032,Max Gala,gala max,Accused,Male,38.0,9197737441,,Bagalkote,TID-OneOff-77
P0000078,FIR-2023-000032,Neel Kar,kar neel,Complainant,Male,29.0,9196237938,"H.No. 438, Dass Road, Srikakulam 829922",Bagalkote,TID-Victim-78
P0000079,FIR-2024-000033,Anvi Balakrishnan,anvi balakrishnan,Accused,Female,24.0,9695612588,"94/396, Balasubramanian, Bongaigaon 473647",Bengaluru Rural,TID-OneOff-79
P0000080,FIR-2024-000033,Ayushman Dugar,ayushman dugar,Victim,Male,46.0,9782683973,"73, Dhawan Path, Imphal-625881",Bengaluru Rural,TID-Victim-80
P0000081,FIR-2025-000034,Kavya Shukla,kavya shukla,Accused,Female,26.0,,"32, Bedi Zila, Yamunanagar 325953",Bengaluru City,TID-OneOff-81
P0000082,FIR-2025-000034,Yahvi Varma,varma yahvi,Complainant,Female,69.0,9832400367,"H.No. 70, Ramaswamy Zila, New Delhi-950047",Bengaluru City,TID-Victim-82
P0000083,FIR-2026-000035,Luke Yadav,luke yadav,Accused,Male,49.0,,"24, Rau Path, Ranchi 098358",Bengaluru City,TID-OneOff-83
P0000084,FIR-2026-000035,Balhaar Raju,balhaar raju,Complainant,Male,70.0,9821818558,,Bengaluru City,TID-Victim-84
P0000085,FIR-2023-000036,Hardik Saini,hardik saini,Accused,Male,51.0,9349817734,"91/21, Prakash Marg, Proddatur-239868",Bengaluru City,TID0005
P0000086,FIR-2023-000036,Arin Barad,arin barad,Complainant,Male,70.0,9219127926,"87, Varma Street, Khammam-269495",Mandya,TID-Victim-86
P0000087,FIR-2024-000037,HARDIK SAINI,hardik saini,Accused,Male,51.0,9349817734,"05, Choudhary Path, Ballia-097499",Bengaluru City,TID0005
P0000088,FIR-2024-000037,Ati Srinivasan,ati srinivasan,Complainant,Female,47.0,9655400377,"309, Halder Zila, Gandhidham-626368",Bengaluru City,TID-Victim-88
P0000089,FIR-2025-000038,Bhavani Devi,bhavani devi,Accused,Female,39.0,,"78/652, Walia Chowk, Bongaigaon-497334",Udupi,TID-OneOff-89
P0000090,FIR-2025-000038,Jeevika Mishra,jeevika mishra,Complainant,Female,71.0,9458187875,"75/758, Mani Road, Chapra 652404",Udupi,TID-Victim-90
P0000091,FIR-2026-000039,Peter Raya,peter raya,Accused,Male,37.0,9127887311,"47, Jaggi Ganj, Kishanganj 219933",Bengaluru Rural,TID0110
P0000092,FIR-2026-000039,Zilmil Kara,kara zilmil,Complainant,Female,,9865899399,,Mandya,TID-Victim-92
P0000093,FIR-2023-000040,Atharv Chaudhry,atharv chaudhry,Accused,Male,53.0,,"71/208, Ray Street, Morena-454019",Mangaluru,TID-OneOff-93
P0000094,FIR-2023-000040,Anirudh Gill,anirudh gill,Complainant,Male,30.0,9466738585,"H.No. 672, Barad Road, Bihar Sharif-547887",Mangaluru,TID-Victim-94
P0000095,FIR-2024-000041,Indrajit I.,i indrajit,Accused,Male,54.0,9897163846,,Koppal,TID0116
P0000096,FIR-2024-000041,Zayyan Sidhu,sidhu zayyan,Complainant,Male,46.0,9728875974,"H.No. 527, Grewal Road, Naihati 932966",Bengaluru City,TID-Victim-96
P0000097,FIR-2025-000042,Nachiket R.,nachiket r,Accused,Male,42.0,,"12, Sood Street, Kulti 463745",Dakshina Kannada,TID0050
P0000098,FIR-2025-000042,Aashi Lal,aashi lal,Complainant,Female,,,,Mysuru,TID-Victim-98
P0000099,FIR-2026-000043,Kamya Bhatia,bhatia kamya,Accused,Female,28.0,9906710856,"H.No. 26, Mukhopadhyay Circle, Sagar 933272",Mysuru,TID-OneOff-99
P0000100,FIR-2026-000043,Ridhi Sagar,ridhi sagar,Victim,Female,29.0,9501449217,"918, Wable Chowk, Solapur-088398",Mysuru,TID-Victim-100
P0000101,FIR-2023-000044,Gayathri Narang,gayathri narang,Accused,Female,55.0,9650037226,"39/718, Bhakta Chowk, Mira-Bhayandar-790874",Chitradurga,TID-OneOff-101
P0000102,FIR-2023-000044,Siya Kumar,kumar siya,Victim,Female,44.0,9634232794,"10/65, Bhasin Zila, Chittoor 462265",Chitradurga,TID-Victim-102
P0000103,FIR-2024-000045,T. Varughese,t varughese,Accused,Male,52.0,9535679851,"61, Deol Circle, Kochi-868230",Mandya,TID0051
P0000104,FIR-2024-000045,Manthan Sheth,manthan sheth,Victim,Male,66.0,,"375, Majumdar Street, Gorakhpur-690331",Bengaluru City,TID-Victim-104
P0000105,FIR-2025-000046,Anika Sekhon,anika sekhon,Accused,Female,,,"06/738, Bhalla Ganj, Ambala 395995",Bengaluru City,TID-OneOff-105
P0000106,FIR-2025-000046,Nidhi Dhar,dhar nidhi,Complainant,Female,61.0,9919094911,"H.No. 40, Gill Circle, Miryalaguda-056856",Bengaluru City,TID-Victim-106
P0000107,FIR-2026-000047,Falguni Mital,falguni mital,Accused,Female,19.0,9174615426,"73/34, Sheth Street, Kishanganj-688263",Mandya,TID-OneOff-107
P0000108,FIR-2026-000047,Ishani Narayanan,ishani narayanan,Victim,Female,36.0,9175139840,"H.No. 18, Behl Ganj, Burhanpur 139837",Mandya,TID-Victim-108
P0000109,FIR-2023-000048,Ojas Mitter,mitter ojas,Accused,Male,33.0,9711205057,"173, Jayaraman, Mathura 467854",Bengaluru City,TID-OneOff-109
P0000110,FIR-2023-000048,Radha Varghese,radha varghese,Victim,Female,65.0,9793958412,"H.No. 753, Munshi Path, Ranchi-204899",Bengaluru City,TID-Victim-110
P0000111,FIR-2024-000049,Neelima Dua,dua neelima,Accused,Female,31.0,,"693, Nazareth Chowk, Unnao-725228",Kalaburagi,TID-OneOff-111
P0000112,FIR-2024-000049,George Bhargava,bhargava george,Victim,Male,,9923065067,"00/623, Dora Zila, Bellary 509977",Kalaburagi,TID-Victim-112
P0000113,FIR-2025-000050,Vivaan Wadhwa,vivaan wadhwa,Accused,Male,27.0,9384412919,,Dakshina Kannada,TID0034
P0000114,FIR-2025-000050,Aarush Wali,aarush wali,Complainant,Male,52.0,9280875434,,Bengaluru City,TID-Victim-114
P0000115,FIR-2026-000051,Abeer Badal,abeer badal,Accused,Male,30.0,9552778389,,Bengaluru City,TID-OneOff-115
P0000116,FIR-2026-000051,Luke Badal,badal luke,Victim,Male,61.0,9336832921,"H.No. 182, Handa Ganj, Raichur-615679",Bengaluru City,TID-Victim-116
